                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.5972,                0.10605,                0.18866,                 5.6103,              0.0033296,              0.0033296,              0.0033296
                      2,                 4.9259,                0.17423,                0.29241,                 5.5434,               0.006597,               0.006597,               0.006597
                      3,                 4.6252,                 0.1862,                0.30175,                 5.5302,              0.0097983,              0.0097983,              0.0097983
                      4,                 4.5273,                0.19603,                0.31995,                 5.5188,               0.009703,               0.009703,               0.009703
                      5,                 4.3567,                0.20488,                0.34011,                  5.505,               0.009703,               0.009703,               0.009703
                      6,                 4.2102,                0.21964,                0.35552,                 5.4917,               0.009604,               0.009604,               0.009604
                      7,                 4.0658,                0.23554,                0.36764,                 5.4906,               0.009505,               0.009505,               0.009505
                      8,                 3.9411,                0.23226,                0.36683,                 5.4843,               0.009406,               0.009406,               0.009406
                      9,                 3.8091,                 0.2398,                0.38551,                 5.4686,               0.009307,               0.009307,               0.009307
                     10,                 3.7442,                0.26127,                0.40141,                 5.4542,               0.009208,               0.009208,               0.009208
                     11,                 3.6347,                0.26127,                0.40387,                 5.4494,               0.009109,               0.009109,               0.009109
                     12,                 3.5309,                0.26979,                0.41354,                 5.4476,                0.00901,                0.00901,                0.00901
                     13,                 3.4447,                0.27143,                0.41419,                 5.4468,               0.008911,               0.008911,               0.008911
                     14,                 3.3669,                0.27848,                0.42665,                 5.4349,               0.008812,               0.008812,               0.008812
                     15,                 3.3112,                0.28274,                0.42895,                  5.429,               0.008713,               0.008713,               0.008713
                     16,                 3.2067,                0.29405,                0.43567,                  5.422,               0.008614,               0.008614,               0.008614
                     17,                 3.1374,                0.29602,                 0.4396,                 5.4221,               0.008515,               0.008515,               0.008515
                     18,                  3.097,                0.29897,                0.44435,                 5.4195,               0.008416,               0.008416,               0.008416
                     19,                 3.0368,                0.29471,                0.44173,                 5.4174,               0.008317,               0.008317,               0.008317
                     20,                 2.9503,                0.30307,                0.44435,                 5.4098,               0.008218,               0.008218,               0.008218
                     21,                 2.8879,                0.30683,                0.45386,                 5.4041,               0.008119,               0.008119,               0.008119
                     22,                 2.8365,                0.30536,                0.45091,                 5.4033,                0.00802,                0.00802,                0.00802
                     23,                 2.8083,                0.31208,                0.46222,                 5.3973,               0.007921,               0.007921,               0.007921
                     24,                  2.741,                 0.3147,                0.45222,                 5.3972,               0.007822,               0.007822,               0.007822
                     25,                 2.6629,                0.31323,                0.46353,                  5.395,               0.007723,               0.007723,               0.007723
                     26,                 2.6186,                0.31929,                 0.4691,                 5.3847,               0.007624,               0.007624,               0.007624
                     27,                 2.5783,                0.32814,                0.46599,                  5.382,               0.007525,               0.007525,               0.007525
                     28,                 2.4903,                0.32503,                0.47025,                 5.3801,               0.007426,               0.007426,               0.007426
                     29,                 2.4801,                0.33011,                0.47123,                 5.3777,               0.007327,               0.007327,               0.007327
                     30,                  2.431,                 0.3306,                0.47304,                 5.3737,               0.007228,               0.007228,               0.007228
                     31,                 2.3933,                0.33273,                0.47107,                 5.3731,               0.007129,               0.007129,               0.007129
                     32,                 2.3696,                0.33224,                0.47386,                 5.3746,                0.00703,                0.00703,                0.00703
                     33,                    2.3,                0.33699,                0.47877,                 5.3677,               0.006931,               0.006931,               0.006931
                     34,                 2.2276,                0.33585,                0.47877,                 5.3663,               0.006832,               0.006832,               0.006832
                     35,                 2.2199,                0.33831,                 0.4755,                 5.3636,               0.006733,               0.006733,               0.006733
                     36,                 2.1911,                 0.3365,                0.47812,                 5.3634,               0.006634,               0.006634,               0.006634
                     37,                  2.138,                0.33929,                0.48205,                 5.3618,               0.006535,               0.006535,               0.006535
                     38,                 2.0769,                0.34552,                0.48353,                 5.3557,               0.006436,               0.006436,               0.006436
                     39,                 2.0686,                0.34339,                0.48746,                 5.3553,               0.006337,               0.006337,               0.006337
                     40,                 2.0475,                0.34437,                 0.4814,                 5.3559,               0.006238,               0.006238,               0.006238
                     41,                 1.9894,                0.34683,                0.48697,                 5.3547,               0.006139,               0.006139,               0.006139
                     42,                 1.9718,                0.34732,                0.48877,                 5.3541,                0.00604,                0.00604,                0.00604
                     43,                 1.9557,                0.35142,                0.48779,                 5.3528,               0.005941,               0.005941,               0.005941
                     44,                  1.897,                0.35043,                0.49058,                 5.3502,               0.005842,               0.005842,               0.005842
                     45,                  1.866,                0.35552,                0.48812,                 5.3473,               0.005743,               0.005743,               0.005743
                     46,                 1.8505,                0.35486,                0.49074,                 5.3469,               0.005644,               0.005644,               0.005644
                     47,                 1.8218,                 0.3565,                0.49582,                 5.3447,               0.005545,               0.005545,               0.005545
                     48,                 1.7715,                 0.3601,                0.49402,                 5.3414,               0.005446,               0.005446,               0.005446
                     49,                 1.7715,                 0.3606,                0.49205,                 5.3399,               0.005347,               0.005347,               0.005347
                     50,                 1.7363,                0.35748,                0.49402,                 5.3403,               0.005248,               0.005248,               0.005248
                     51,                 1.6835,                0.35847,                0.49058,                 5.3394,               0.005149,               0.005149,               0.005149
                     52,                  1.651,                0.35961,                0.48877,                 5.3375,                0.00505,                0.00505,                0.00505
                     53,                 1.6486,                0.35945,                0.49107,                 5.3362,               0.004951,               0.004951,               0.004951
                     54,                 1.6335,                0.35847,                0.49172,                 5.3357,               0.004852,               0.004852,               0.004852
                     55,                 1.6075,                0.36092,                0.49418,                 5.3341,               0.004753,               0.004753,               0.004753
                     56,                 1.5509,                0.36306,                0.49779,                 5.3327,               0.004654,               0.004654,               0.004654
                     57,                 1.5318,                 0.3642,                0.49959,                 5.3314,               0.004555,               0.004555,               0.004555
                     58,                 1.5433,                0.36633,                0.49713,                 5.3311,               0.004456,               0.004456,               0.004456
                     59,                 1.4949,                0.36469,                0.49926,                 5.3306,               0.004357,               0.004357,               0.004357
                     60,                 1.4647,                0.36469,                0.50057,                 5.3304,               0.004258,               0.004258,               0.004258
                     61,                  1.465,                0.36486,                0.50041,                 5.3301,               0.004159,               0.004159,               0.004159
                     62,                 1.4195,                0.36502,                0.50107,                 5.3293,                0.00406,                0.00406,                0.00406
                     63,                 1.3812,                0.36633,                0.49943,                 5.3285,               0.003961,               0.003961,               0.003961
                     64,                 1.3889,                0.36584,                0.49943,                 5.3288,               0.003862,               0.003862,               0.003862
                     65,                 1.3635,                0.36732,                0.49926,                 5.3277,               0.003763,               0.003763,               0.003763
                     66,                  1.321,                0.36715,                 0.4991,                 5.3274,               0.003664,               0.003664,               0.003664
                     67,                 1.3268,                0.36699,                0.50025,                 5.3267,               0.003565,               0.003565,               0.003565
                     68,                 1.2878,                 0.3665,                0.49992,                 5.3264,               0.003466,               0.003466,               0.003466
                     69,                 1.2752,                0.36617,                0.49943,                 5.3265,               0.003367,               0.003367,               0.003367
                     70,                 1.2324,                0.36748,                0.49992,                 5.3256,               0.003268,               0.003268,               0.003268
                     71,                 1.2321,                0.36797,                0.49975,                 5.3253,               0.003169,               0.003169,               0.003169
                     72,                  1.213,                0.36961,                0.49992,                 5.3245,                0.00307,                0.00307,                0.00307
                     73,                 1.1851,                 0.3701,                0.50172,                 5.3242,               0.002971,               0.002971,               0.002971
                     74,                 1.1757,                0.36846,                 0.5027,                 5.3241,               0.002872,               0.002872,               0.002872
                     75,                  1.144,                 0.3683,                0.50205,                  5.324,               0.002773,               0.002773,               0.002773
                     76,                 1.1342,                0.36797,                0.50221,                 5.3234,               0.002674,               0.002674,               0.002674
                     77,                 1.0905,                0.36896,                0.50238,                 5.3236,               0.002575,               0.002575,               0.002575
                     78,                 1.0988,                0.36978,                0.50221,                 5.3231,               0.002476,               0.002476,               0.002476
                     79,                 1.0592,                 0.3701,                0.50303,                 5.3227,               0.002377,               0.002377,               0.002377
                     80,                 1.0693,                0.37059,                0.50287,                 5.3224,               0.002278,               0.002278,               0.002278
                     81,                  1.054,                0.37059,                0.50221,                 5.3223,               0.002179,               0.002179,               0.002179
                     82,                 1.0296,                0.37174,                0.50188,                 5.3221,                0.00208,                0.00208,                0.00208
                     83,                 1.0024,                0.37207,                0.50238,                 5.3219,               0.001981,               0.001981,               0.001981
                     84,                0.98108,                0.37273,                0.50205,                 5.3217,               0.001882,               0.001882,               0.001882
                     85,                 0.9595,                0.37223,                0.50254,                 5.3216,               0.001783,               0.001783,               0.001783
                     86,                0.95505,                0.37273,                0.50156,                 5.3215,               0.001684,               0.001684,               0.001684
                     87,                0.92936,                0.37305,                0.50172,                 5.3209,               0.001585,               0.001585,               0.001585
                     88,                0.91119,                0.37404,                0.50172,                 5.3208,               0.001486,               0.001486,               0.001486
                     89,                0.89784,                0.37371,                0.50139,                 5.3208,               0.001387,               0.001387,               0.001387
                     90,                 0.8932,                0.37404,                0.50123,                 5.3206,               0.001288,               0.001288,               0.001288
